classifier,accuracy,precision,recall,f1,auc_roc,kappa,overall_score,rank
SVM,0.7616,0.7788,0.7616,0.7631,0.7983,0.5956,0.7432,1
SVM_rbf,0.7607,0.7797,0.7607,0.7608,0.7987,0.5952,0.7426,2
MLP,0.7622,0.7743,0.7622,0.7619,0.7990,0.5951,0.7424,3
LR,0.7579,0.7706,0.7579,0.7576,0.7965,0.5897,0.7384,4
RC,0.7579,0.7678,0.7579,0.7564,0.7952,0.5885,0.7373,5
KN,0.7524,0.7683,0.7524,0.7514,0.7898,0.5787,0.7322,6
ET,0.7429,0.7619,0.7429,0.7448,0.7850,0.5654,0.7238,7
RF,0.7381,0.7587,0.7381,0.7404,0.7826,0.5602,0.7197,8
LDA,0.7356,0.7564,0.7356,0.7389,0.7804,0.5558,0.7171,9
GB,0.7343,0.7488,0.7343,0.7354,0.7787,0.5530,0.7141,10
SGD,0.7154,0.7471,0.7154,0.7032,0.7618,0.5203,0.6938,11
QDA,0.7038,0.7325,0.7038,0.7025,0.7612,0.5121,0.6860,12
NB,0.7102,0.7224,0.7102,0.7085,0.7524,0.5081,0.6853,13
PC,0.7032,0.7419,0.7032,0.6786,0.7501,0.4965,0.6789,14
DT,0.6920,0.7032,0.6920,0.6923,0.7415,0.4839,0.6675,15
AB,0.6927,0.7068,0.6927,0.6858,0.7250,0.4947,0.6663,16
