dataset,classifier,accuracy,precision,recall,f1,auc_roc,kappa,rank
BNCI2014_001,MLP,0.6734,0.6793,0.6734,0.6729,0.7816,0.5640,1
BNCI2014_001,SVM_rbf,0.6638,0.6709,0.6638,0.6623,0.7752,0.5516,2
BNCI2014_001,LR,0.6619,0.6694,0.6619,0.6619,0.7739,0.5489,3
BNCI2014_001,LDA,0.6600,0.6669,0.6600,0.6595,0.7724,0.5462,4
BNCI2014_001,QDA,0.6561,0.6590,0.6561,0.6548,0.7696,0.5409,5
BNCI2014_001,SVM,0.6542,0.6618,0.6542,0.6536,0.7687,0.5389,6
BNCI2014_001,RC,0.6542,0.6560,0.6542,0.6506,0.7679,0.5378,7
BNCI2014_001,RF,0.6351,0.6396,0.6351,0.6351,0.7552,0.5129,8
BNCI2014_001,ET,0.6341,0.6403,0.6341,0.6338,0.7550,0.5119,9
BNCI2014_001,GB,0.6312,0.6379,0.6312,0.6315,0.7529,0.5081,10
BNCI2014_001,SGD,0.6255,0.6476,0.6255,0.6097,0.7509,0.5007,11
BNCI2014_001,KN,0.6188,0.6354,0.6188,0.6194,0.7456,0.4922,12
BNCI2014_001,NB,0.6073,0.6105,0.6073,0.6025,0.7360,0.4755,13
BNCI2014_001,PC,0.5852,0.6452,0.5852,0.5556,0.7219,0.4448,14
BNCI2014_001,DT,0.5527,0.5554,0.5527,0.5510,0.7002,0.4026,15
BNCI2014_001,AB,0.5508,0.5650,0.5508,0.5460,0.6986,0.3994,16
BNCI2014_002,LR,0.7768,0.7852,0.7768,0.7768,0.7796,0.5515,1
BNCI2014_002,SVM_rbf,0.7723,0.7861,0.7723,0.7719,0.7765,0.5449,2
BNCI2014_002,RC,0.7723,0.7846,0.7723,0.7724,0.7758,0.5440,3
BNCI2014_002,SVM,0.7723,0.7843,0.7723,0.7720,0.7754,0.5436,4
BNCI2014_002,ET,0.7701,0.7823,0.7701,0.7699,0.7732,0.5388,5
BNCI2014_002,MLP,0.7701,0.7805,0.7701,0.7700,0.7724,0.5379,6
BNCI2014_002,LDA,0.7634,0.7778,0.7634,0.7631,0.7670,0.5278,7
BNCI2014_002,SGD,0.7634,0.7735,0.7634,0.7564,0.7640,0.5203,8
BNCI2014_002,GB,0.7589,0.7746,0.7589,0.7586,0.7639,0.5197,9
BNCI2014_002,RF,0.7589,0.7703,0.7589,0.7588,0.7628,0.5168,10
BNCI2014_002,DT,0.7589,0.7644,0.7589,0.7580,0.7585,0.5118,11
BNCI2014_002,KN,0.7545,0.7708,0.7545,0.7546,0.7608,0.5117,12
BNCI2014_002,AB,0.7500,0.7643,0.7500,0.7501,0.7545,0.4989,13
BNCI2014_002,QDA,0.7478,0.7572,0.7478,0.7482,0.7505,0.4930,14
BNCI2014_002,PC,0.7210,0.7543,0.7210,0.6900,0.7285,0.4505,15
BNCI2014_002,NB,0.7143,0.7200,0.7143,0.7141,0.7153,0.4257,16
BNCI2014_004,SVM_rbf,0.7331,0.7400,0.7331,0.7312,0.7345,0.4677,1
BNCI2014_004,LDA,0.7322,0.7387,0.7322,0.7315,0.7344,0.4664,2
BNCI2014_004,MLP,0.7311,0.7359,0.7311,0.7304,0.7325,0.4631,3
BNCI2014_004,LR,0.7297,0.7375,0.7297,0.7284,0.7329,0.4631,4
BNCI2014_004,SVM,0.7304,0.7364,0.7304,0.7291,0.7322,0.4624,5
BNCI2014_004,QDA,0.7304,0.7371,0.7304,0.7289,0.7320,0.4618,6
BNCI2014_004,RC,0.7290,0.7360,0.7290,0.7282,0.7314,0.4605,7
BNCI2014_004,RF,0.7296,0.7340,0.7296,0.7296,0.7305,0.4593,8
BNCI2014_004,GB,0.7257,0.7304,0.7257,0.7257,0.7270,0.4523,9
BNCI2014_004,NB,0.7173,0.7226,0.7173,0.7161,0.7183,0.4348,10
BNCI2014_004,ET,0.7120,0.7151,0.7120,0.7122,0.7121,0.4228,11
BNCI2014_004,AB,0.7079,0.7140,0.7079,0.7071,0.7104,0.4186,12
BNCI2014_004,KN,0.7081,0.7116,0.7081,0.7082,0.7081,0.4152,13
BNCI2014_004,DT,0.6885,0.6918,0.6885,0.6882,0.6876,0.3749,14
BNCI2014_004,PC,0.6964,0.6855,0.6964,0.6498,0.6911,0.3830,15
BNCI2014_004,SGD,0.6736,0.6955,0.6736,0.6300,0.6820,0.3634,16
BNCI2015_001,SVM_rbf,0.8312,0.8361,0.8312,0.8309,0.8325,0.6627,1
BNCI2015_001,MLP,0.8299,0.8328,0.8299,0.8297,0.8304,0.6594,2
BNCI2015_001,SVM,0.8274,0.8319,0.8274,0.8271,0.8287,0.6551,3
BNCI2015_001,LR,0.8267,0.8301,0.8267,0.8266,0.8277,0.6534,4
BNCI2015_001,RF,0.8205,0.8249,0.8205,0.8201,0.8213,0.6408,5
BNCI2015_001,KN,0.8201,0.8248,0.8201,0.8197,0.8215,0.6407,6
BNCI2015_001,RC,0.8191,0.8216,0.8191,0.8190,0.8195,0.6379,7
BNCI2015_001,ET,0.8170,0.8233,0.8170,0.8163,0.8188,0.6344,8
BNCI2015_001,LDA,0.8160,0.8191,0.8160,0.8158,0.8164,0.6318,9
BNCI2015_001,GB,0.8153,0.8184,0.8153,0.8152,0.8164,0.6307,10
BNCI2015_001,AB,0.8090,0.8121,0.8090,0.8090,0.8096,0.6180,11
BNCI2015_001,QDA,0.7948,0.8007,0.7948,0.7928,0.7957,0.5899,12
BNCI2015_001,NB,0.7917,0.8081,0.7917,0.7839,0.7920,0.5826,13
BNCI2015_001,DT,0.7802,0.7828,0.7802,0.7800,0.7810,0.5603,14
BNCI2015_001,SGD,0.7660,0.8010,0.7660,0.7557,0.7696,0.5363,15
BNCI2015_001,PC,0.7535,0.8181,0.7535,0.7228,0.7578,0.5155,16
Zhou2016,ET,0.8019,0.8084,0.8019,0.8015,0.8517,0.7026,1
Zhou2016,MLP,0.7910,0.7943,0.7910,0.7902,0.8442,0.6865,2
Zhou2016,RF,0.7903,0.7959,0.7903,0.7895,0.8428,0.6850,3
Zhou2016,SVM_rbf,0.7860,0.7946,0.7860,0.7849,0.8408,0.6792,4
Zhou2016,KN,0.7796,0.7958,0.7796,0.7796,0.8365,0.6699,5
Zhou2016,GB,0.7801,0.7883,0.7801,0.7807,0.8355,0.6696,6
Zhou2016,SVM,0.7795,0.7856,0.7795,0.7788,0.8361,0.6695,7
Zhou2016,LDA,0.7754,0.7792,0.7754,0.7745,0.8327,0.6628,8
Zhou2016,LR,0.7745,0.7788,0.7745,0.7737,0.8319,0.6617,9
Zhou2016,RC,0.7672,0.7698,0.7672,0.7654,0.8269,0.6509,10
Zhou2016,PC,0.7410,0.8079,0.7410,0.7311,0.8120,0.6162,11
Zhou2016,SGD,0.7417,0.7759,0.7417,0.7360,0.8111,0.6156,12
Zhou2016,QDA,0.7381,0.7455,0.7381,0.7374,0.8035,0.6061,13
Zhou2016,AB,0.7274,0.7352,0.7274,0.7252,0.7955,0.5902,14
Zhou2016,DT,0.7048,0.7098,0.7048,0.7023,0.7783,0.5565,15
Zhou2016,NB,0.6805,0.6882,0.6805,0.6745,0.7589,0.5186,16
AlexMI,KN,0.8333,0.8713,0.8333,0.8269,0.8661,0.7427,1
AlexMI,SVM,0.8056,0.8727,0.8056,0.8182,0.8489,0.7040,2
AlexMI,RC,0.8056,0.8389,0.8056,0.8025,0.8494,0.6998,3
AlexMI,SVM_rbf,0.7778,0.8505,0.7778,0.7837,0.8327,0.6649,4
AlexMI,MLP,0.7772,0.8227,0.7772,0.7784,0.8327,0.6596,5
AlexMI,LR,0.7770,0.8217,0.7770,0.7764,0.8321,0.6575,6
AlexMI,NB,0.7500,0.7847,0.7500,0.7601,0.7938,0.6111,7
AlexMI,ET,0.7222,0.8019,0.7222,0.7352,0.7994,0.5819,8
AlexMI,SGD,0.7222,0.7889,0.7222,0.7313,0.7929,0.5853,9
AlexMI,PC,0.7222,0.7403,0.7222,0.7222,0.7892,0.5689,10
AlexMI,RF,0.6944,0.7875,0.6944,0.7094,0.7827,0.5465,11
AlexMI,GB,0.6944,0.7431,0.6944,0.7009,0.7763,0.5376,12
AlexMI,LDA,0.6667,0.7569,0.6667,0.6887,0.7596,0.5000,13
AlexMI,DT,0.6667,0.7148,0.6667,0.6741,0.7434,0.4970,14
AlexMI,AB,0.6111,0.6501,0.6111,0.5775,0.5814,0.4429,15
AlexMI,QDA,0.5556,0.6954,0.5556,0.5529,0.7161,0.3808,16
