dataset,classifier,auc_cv_raw,convergence_rate_raw,performance_stability_raw,auc_cv_normalized,convergence_rate_normalized,performance_stability_normalized,rank
BNCI2014_001,LR,717,0.122,0.082,0.588,0.160,0.331,1
BNCI2014_001,NB,681,0.066,0.066,0.839,0.057,0.000,2
BNCI2014_001,PC,657,0.036,0.073,1.000,0.000,0.143,3
BNCI2014_001,SVM,735,0.139,0.094,0.470,0.192,0.571,4
BNCI2014_001,LDA,694,0.123,0.094,0.745,0.162,0.571,5
BNCI2014_001,RC,692,0.112,0.099,0.760,0.142,0.673,6
BNCI2014_001,MLP,800,0.139,0.107,0.023,0.192,0.837,7
BNCI2014_001,SGD,668,0.133,0.085,0.926,0.180,0.388,8
BNCI2014_001,AB,683,0.165,0.074,0.820,0.240,0.163,9
BNCI2014_001,SVM_rbf,804,0.159,0.115,0.000,0.229,1.000,10
BNCI2014_001,KN,772,0.237,0.101,0.217,0.373,0.714,11
BNCI2014_001,QDA,724,0.143,0.105,0.540,0.199,0.796,12
BNCI2014_001,GB,766,0.335,0.105,0.256,0.555,0.796,13
BNCI2014_001,ET,794,0.485,0.108,0.063,0.833,0.857,14
BNCI2014_001,RF,792,0.500,0.107,0.081,0.861,0.837,15
BNCI2014_001,DT,681,0.575,0.088,0.837,1.000,0.449,16
BNCI2014_002,SVM_rbf,994,0.034,0.074,0.113,0.040,0.728,1
BNCI2014_002,KN,1002,0.183,0.071,0.000,0.428,0.632,2
BNCI2014_002,NB,931,0.020,0.053,1.000,0.004,0.044,3
BNCI2014_002,GB,993,0.199,0.070,0.128,0.471,0.603,4
BNCI2014_002,QDA,952,0.035,0.067,0.704,0.043,0.528,5
BNCI2014_002,LR,993,0.043,0.077,0.132,0.063,0.855,6
BNCI2014_002,SGD,949,0.028,0.077,0.741,0.024,0.826,7
BNCI2014_002,PC,934,0.019,0.077,0.959,0.000,0.838,8
BNCI2014_002,ET,998,0.363,0.076,0.063,0.900,0.804,9
BNCI2014_002,RC,989,0.032,0.080,0.178,0.034,0.928,10
BNCI2014_002,SVM,993,0.038,0.079,0.133,0.050,0.902,11
BNCI2014_002,AB,980,0.111,0.072,0.317,0.239,0.686,12
BNCI2014_002,MLP,1001,0.065,0.082,0.016,0.119,1.000,13
BNCI2014_002,LDA,988,0.033,0.079,0.198,0.037,0.919,14
BNCI2014_002,RF,990,0.360,0.074,0.152,0.892,0.736,15
BNCI2014_002,DT,950,0.402,0.051,0.730,1.000,0.000,16
BNCI2014_004,LR,3206,0.013,0.053,0.000,0.011,0.982,1
BNCI2014_004,LDA,3202,0.014,0.053,0.011,0.013,0.993,2
BNCI2014_004,NB,3082,0.008,0.049,0.281,0.000,0.822,3
BNCI2014_004,RC,3202,0.014,0.053,0.011,0.014,1.000,4
BNCI2014_004,SVM,3191,0.017,0.051,0.036,0.023,0.925,5
BNCI2014_004,SVM_rbf,3124,0.039,0.040,0.184,0.078,0.425,6
BNCI2014_004,QDA,3160,0.017,0.051,0.106,0.022,0.891,7
BNCI2014_004,MLP,3162,0.036,0.049,0.100,0.071,0.805,8
BNCI2014_004,GB,3082,0.079,0.039,0.280,0.182,0.388,9
BNCI2014_004,SGD,3063,0.020,0.046,0.323,0.029,0.687,10
BNCI2014_004,RF,3005,0.351,0.034,0.453,0.886,0.168,11
BNCI2014_004,AB,3076,0.047,0.046,0.294,0.099,0.674,12
BNCI2014_004,KN,2982,0.137,0.038,0.505,0.333,0.336,13
BNCI2014_004,ET,2999,0.352,0.037,0.467,0.889,0.277,14
BNCI2014_004,DT,2818,0.395,0.030,0.889,1.000,0.000,15
BNCI2014_004,PC,2761,0.038,0.049,1.000,0.076,0.799,16
BNCI2015_001,NB,2275,0.022,0.060,0.000,0.021,0.867,1
BNCI2015_001,RC,2245,0.066,0.053,0.366,0.122,0.517,2
BNCI2015_001,LDA,2245,0.066,0.053,0.361,0.123,0.531,3
BNCI2015_001,LR,2256,0.072,0.054,0.227,0.138,0.570,4
BNCI2015_001,SGD,2214,0.014,0.052,0.747,0.000,0.482,5
BNCI2015_001,SVM,2232,0.091,0.045,0.527,0.182,0.186,6
BNCI2015_001,RF,2266,0.431,0.052,0.114,0.980,0.485,7
BNCI2015_001,AB,2239,0.173,0.045,0.433,0.375,0.169,8
BNCI2015_001,SVM_rbf,2193,0.128,0.041,1.000,0.269,0.000,9
BNCI2015_001,GB,2235,0.225,0.049,0.482,0.497,0.347,10
BNCI2015_001,PC,2243,0.041,0.063,0.383,0.065,1.000,11
BNCI2015_001,KN,2247,0.240,0.053,0.342,0.533,0.546,12
BNCI2015_001,MLP,2255,0.160,0.058,0.244,0.345,0.778,13
BNCI2015_001,QDA,2229,0.102,0.056,0.555,0.208,0.656,14
BNCI2015_001,DT,2218,0.437,0.052,0.688,0.994,0.501,15
BNCI2015_001,ET,2228,0.439,0.053,0.576,1.000,0.554,16
Zhou2016,SVM_rbf,907,0.067,0.051,0.000,0.146,0.060,1
Zhou2016,RC,879,0.035,0.056,0.214,0.057,0.350,2
Zhou2016,SVM,891,0.039,0.057,0.121,0.069,0.446,3
Zhou2016,LDA,873,0.037,0.056,0.264,0.062,0.336,4
Zhou2016,RF,896,0.277,0.051,0.085,0.734,0.026,5
Zhou2016,LR,884,0.036,0.061,0.175,0.061,0.703,6
Zhou2016,PC,827,0.014,0.055,0.615,0.000,0.304,7
Zhou2016,AB,842,0.083,0.051,0.501,0.192,0.000,8
Zhou2016,GB,880,0.191,0.052,0.211,0.491,0.098,9
Zhou2016,MLP,886,0.062,0.059,0.161,0.134,0.568,10
Zhou2016,ET,876,0.269,0.056,0.235,0.710,0.363,11
Zhou2016,SGD,838,0.048,0.063,0.528,0.095,0.776,12
Zhou2016,KN,829,0.151,0.057,0.604,0.380,0.427,13
Zhou2016,QDA,839,0.052,0.066,0.524,0.104,1.000,14
Zhou2016,NB,782,0.042,0.064,0.964,0.076,0.874,15
Zhou2016,DT,777,0.373,0.063,1.000,1.000,0.811,16
AlexMI,SVM,251,0.154,0.112,0.213,0.172,0.506,1
AlexMI,KN,255,0.121,0.125,0.160,0.034,0.736,2
AlexMI,RC,267,0.112,0.139,0.000,0.000,1.000,3
AlexMI,NB,231,0.158,0.087,0.468,0.190,0.034,4
AlexMI,PC,257,0.200,0.124,0.128,0.362,0.724,5
AlexMI,LR,254,0.204,0.122,0.165,0.379,0.692,6
AlexMI,SVM_rbf,252,0.141,0.129,0.192,0.121,0.812,7
AlexMI,MLP,263,0.191,0.131,0.054,0.328,0.845,8
AlexMI,RF,252,0.316,0.116,0.189,0.845,0.569,9
AlexMI,AB,191,0.233,0.085,1.000,0.500,0.000,10
AlexMI,QDA,260,0.354,0.125,0.094,1.000,0.736,11
AlexMI,ET,258,0.300,0.129,0.112,0.776,0.813,12
AlexMI,LDA,249,0.166,0.131,0.231,0.224,0.842,13
AlexMI,GB,229,0.266,0.122,0.503,0.638,0.689,14
AlexMI,SGD,249,0.200,0.136,0.227,0.362,0.949,15
AlexMI,DT,209,0.316,0.124,0.762,0.845,0.732,16
