dataset,classifier,accuracy,precision,recall,f1,auc_roc,kappa
BNCI2014_001,WS_AIEC,0.9688,0.9700,0.9688,0.9687,0.9688,0.9375
BNCI2014_001,SVM,0.6542,0.6618,0.6542,0.6536,0.7687,0.5389
BNCI2014_001,RC,0.6542,0.6560,0.6542,0.6506,0.7679,0.5378
BNCI2014_001,SVM_rbf,0.6638,0.6709,0.6638,0.6623,0.7752,0.5516
BNCI2014_001,LR,0.6619,0.6694,0.6619,0.6619,0.7739,0.5489
BNCI2014_001,NB,0.6073,0.6105,0.6073,0.6025,0.7360,0.4755
BNCI2014_002,WS_AIEC,0.9958,0.9959,0.9958,0.9958,0.9972,0.9944
BNCI2014_002,SVM,0.7723,0.7843,0.7723,0.7720,0.7754,0.5436
BNCI2014_002,RC,0.7723,0.7846,0.7723,0.7724,0.7758,0.5440
BNCI2014_002,SVM_rbf,0.7723,0.7861,0.7723,0.7719,0.7765,0.5449
BNCI2014_002,LR,0.7768,0.7852,0.7768,0.7768,0.7796,0.5515
BNCI2014_002,NB,0.7143,0.7200,0.7143,0.7141,0.7153,0.4257
BNCI2014_004,WS_AIEC,0.9625,0.9646,0.9625,0.9624,0.9625,0.9250
BNCI2014_004,SVM,0.7304,0.7364,0.7304,0.7291,0.7322,0.4624
BNCI2014_004,RC,0.7290,0.7360,0.7290,0.7282,0.7314,0.4605
BNCI2014_004,SVM_rbf,0.7331,0.7400,0.7331,0.7312,0.7345,0.4677
BNCI2014_004,LR,0.7297,0.7375,0.7297,0.7284,0.7329,0.4631
BNCI2014_004,NB,0.7173,0.7226,0.7173,0.7161,0.7183,0.4348
BNCI2015_001,WS_AIEC,0.9875,0.9879,0.9875,0.9875,0.9891,0.9745
BNCI2015_001,SVM,0.8274,0.8319,0.8274,0.8271,0.8287,0.6551
BNCI2015_001,RC,0.8191,0.8216,0.8191,0.8190,0.8195,0.6379
BNCI2015_001,SVM_rbf,0.8312,0.8361,0.8312,0.8309,0.8325,0.6627
BNCI2015_001,LR,0.8267,0.8301,0.8267,0.8266,0.8277,0.6534
BNCI2015_001,NB,0.7917,0.8081,0.7917,0.7839,0.7920,0.5826
Zhou2016,WS_AIEC,0.9458,0.9474,0.9458,0.9458,0.9462,0.8912
Zhou2016,SVM,0.7795,0.7856,0.7795,0.7788,0.8361,0.6695
Zhou2016,RC,0.7672,0.7698,0.7672,0.7654,0.8269,0.6509
Zhou2016,SVM_rbf,0.7860,0.7946,0.7860,0.7849,0.8408,0.6792
Zhou2016,LR,0.7745,0.7788,0.7745,0.7737,0.8319,0.6617
Zhou2016,NB,0.6805,0.6882,0.6805,0.6745,0.7589,0.5186
AlexMI,WS_AIEC,0.9500,0.9517,0.9500,0.9499,0.9492,0.8995
AlexMI,SVM,0.8056,0.8727,0.8056,0.8182,0.8489,0.7040
AlexMI,RC,0.8056,0.8389,0.8056,0.8025,0.8494,0.6998
AlexMI,SVM_rbf,0.7778,0.8505,0.7778,0.7837,0.8327,0.6649
AlexMI,LR,0.7770,0.8217,0.7770,0.7764,0.8321,0.6575
AlexMI,NB,0.7500,0.7847,0.7500,0.7601,0.7938,0.6111
